BAT,TELESCOP,DATE-OBS,BMAJ,BMIN,BPA,IntFlux[Jy],Err[Jy],Peak[Jy/beam],Err[Jy/beam],IntFlux[mJy],Err[mJy],MeasureRadius[arcsec],Name,Cname,Project_Code,VLA_config,measured_RMS_uJy/beam,RAJ2000,DEJ2000,Dist,cont_base
13,EVLA,3/14/20,19.49,13.72,-54.1,0.0146424,0.000693716,0.014232,0.000385214,14.6424,0.002081148,50,LEDA136991,2MASX J00253292+6821442,20A-123,C,51.48226046,6.3850302,68.3624394,54,5
64,EVLA,3/13/20,12.41,12.13,-68.57,0.0295425,0.00027797,0.0283833,0.000156239,29.5425,0.00083391,25,NGC452,NGC 452,20A-123,C,30.01412369,19.0616678,31.0338419,73.3,5
96,EVLA,3/19/20,15.76,12,16.46,0.0169491,0.0034126,0.0186678,0.00208321,16.9491,0.0102378,25,MCG-1-5-47,MCG-01-05-047,20A-123,C,398.4215728,28.2043279,-3.446844,72.6,5
151,EVLA,2/13/20,12.68,10.36,-7.25,0.00885063,0.000142674,0.00691375,6.92E-05,8.85063,0.000428022,25,LEDA166445,2MFGC 02280,20A-123,C,30.34041583,42.6773797,54.7048487,66.2,5
153,EVLA,2/8/20,16.54,8.89,2.99,0.0519654,0.000497148,0.0485919,0.000258174,51.9654,0.001491444,25,NGC1125,NGC 1125,20A-123,C,18.73791552,42.9185624,-16.650642,48,5
156,EVLA,2/11/20,16.55,10.56,-12.52,0.00663926,0.000170742,0.00623404,9.20E-05,6.63926,0.000512226,25,MCG-2-8-14,MCG -02-08-014,20A-123,C,90.47596541,43.0975085,-8.5103004,72.6,5
205,EVLA,2/7/20,18.62,10.89,3.9,0.0252334,0.000355757,0.016369,0.000150138,25.2334,0.001067271,25,ESO549-49,ESO 549- G049,20A-123,C,45.34145774,60.6070054,-18.04758,114.7,5
237,EVLA,2/4/20,12.93,10.22,-76.72,0.0258798,0.000281844,0.0229841,0.000148773,25.8798,0.000845532,25,LEDA86269,2MASX J04440903+2813003,20A-123,C,118.81518,71.0375969,28.2168791,46.1,5
310,EVLA,11/8/23,39.22,30.05,-64.8,0.232533,0.00262245,0.196629,0.00133797,232.533,0.00786735,70,UGC3374,MCG+08-11-011,23B-079,C,23.95730735,88.7233595,46.4393815,87.7,5
349,EVLA,2/5/20,13.34,11.32,79.31,0.00523545,6.49E-05,0.00470207,3.47E-05,5.23545,0.000194712,25,UGC3601,UGC 03601,20A-123,C,41.14714102,103.956358,40.000323,74.6,5
382,EVLA,2/11/20,13.98,11.19,73.65,0.0176054,0.000251282,0.0131692,0.000118363,17.6054,0.000753846,35,Mrk79,Mrk 79,20A-123,C,13.93466573,115.636733,49.8096907,96.3,5
400,EVLA,2/6/20,18.6,11.58,-68.16,0.00826335,0.000207067,0.00407149,7.19E-05,8.26335,0.000621201,50,IC486,IC 0486,20A-123,C,23.95644697,120.087402,26.6135066,116,5
416,EVLA,2/12/20,15.93,11.18,-36.16,0.0338785,0.000419298,0.0251271,0.000196052,33.8785,0.001257894,25,Fairall272,Fairall 272,20A-123,C,111.270936,125.754538,-4.9348747,96.9,5
470,EVLA,3/27/20,12.84,10.79,-64.01,0.0110729,0.000187293,0.0104894,0.000103919,11.0729,0.000561879,25,Z122-55,CGCG 122-055,20A-123,C,27.27976607,145.519944,23.6852767,93,5
475,EVLA,3/28/20,16.11,12.72,-4.39,0.00406016,0.000304517,0.00146071,8.35E-05,4.06016,0.000913551,60,NGC3035,NGC 3035,20A-123,C,30.93710984,147.979284,-6.8229214,62.4,5
517,EVLA,2/10/20,15.11,11.91,70.57,0.0112455,0.00014979,0.0100498,7.96E-05,11.2455,0.00044937,25,UGC5881,UGC 05881,20A-123,C,55.43943917,161.677106,25.9316006,89,5
520,EVLA,4/18/20,21.18,11.19,17.23,0.00542056,0.000321433,0.00295726,0.0001207,5.42056,0.000964299,30,NGC3431,NGC 3431,20A-123,C,16.13633685,162.812665,-17.008078,75.7,5
554,EVLA,2/11/20,14.42,11.55,-66.99,0.001078,0.000269797,0.000753596,0.000120035,1.078,0.000809391,25,LEDA1735060,2MASX J11383367+2523532,20A-123,C,41.14181866,174.640356,25.3981165,110.7,5
588,EVLA,2/11/20,12.36,10.81,-3.11,0.0139943,0.000386488,0.00752297,0.0001441,13.9943,0.001159464,25,UGC7064,UGC 07064,20A-123,C,121.1288909,181.180523,31.1772679,109.5,5
590,EVLA,2/6/20,12.21,10.09,9.44,0.231019,0.00213542,0.190691,0.00107669,231.019,0.00640626,50,NGC4102,NGC 4102,20A-123,C,40.67045302,181.596033,52.7110309,19.5,5
592,EVLA,2/11/20,13.61,10.81,-77.19,0.00878719,0.000100235,0.00752547,5.18E-05,8.78719,0.000300705,30,Mrk198,Mrk 198,20A-123,C,18.31025475,182.308814,47.0583628,106.9,5
621,EVLA,3/8/20,17.5,11.72,84.65,0.0232457,0.000526275,0.0120872,0.000190974,23.2457,0.001578825,70,NGC4500,NGC 4500,20A-123,C,64.96657443,187.842458,57.9646192,34.5,5
633,EVLA,11/10/23,58.61,30.22,72.06,0.0169054,0.0006161,0.00978655,0.000240689,16.9054,0.0018483,70,NGC4619,NGC 4619,23B-079,C,33.38549868,190.435624,35.0627157,100,5
659,EVLA,4/2/20,15.27,12.13,21.44,0.00244213,0.000338879,0.00235583,0.000183919,2.44213,0.001016637,25,NGC4992,NGC 4992,20A-123,C,102.2396391,197.27333,11.634144,109.9,5
670,EVLA,4/23/20,19.99,10.78,2.49,0.259081,0.00165624,0.247076,0.000875968,259.081,0.00496872,25,MCG-3-34-64,MCG -03-34-064,20A-123,C,89.21961125,200.601925,-16.728445,72.6,5
682,EVLA,4/22/20,14.71,11.47,5.06,0.0181346,0.00083824,0.0159925,0.000438709,18.1346,0.00251472,25,NGC5252,NGC 5252,20A-123,C,53.4666251,204.566148,4.5426605,100.1,5
687,EVLA,4/28/20,12.94,11,-16.92,0.00246217,0.000141633,0.00175084,6.46E-05,2.46217,0.000424899,25,Z102-48,CGCG 102-048,20A-123,C,36.45218385,206.065266,19.5666464,117.9,5
723,EVLA,5/2/20,13.06,11.84,-39.49,0.0262885,0.00108994,0.0206499,0.00053232,26.2885,0.00326982,25,NGC5610,NGC 5610,20A-123,C,40.56975013,216.095509,24.6141909,73.4,5
733,EVLA,5/26/20,13.58,10.45,-14.91,0.0267225,0.00117074,0.00594468,0.000216518,26.7225,0.00351222,75,NGC5674,NGC 5674,20A-123,C,35.81383135,218.467835,5.4583791,108.1,5
766,EVLA,11/3/23,33.19,29.53,-27.99,0.0406503,0.00255584,0.0151611,0.000714717,40.6503,0.00766752,70,NGC5899,NGC 5899,23B-079,D,16.14050052,228.763559,42.0498183,45.1,5
772,EVLA,2/11/20,16.69,10.57,18.85,0.201176,0.00164695,0.182343,0.000862829,201.176,0.00494085,25,MCG-1-40-1,MCG-01-40-001,20A-123,C,137.2788829,233.336239,-8.7005302,100.3,5
783,EVLA,3/19/20,18.02,10.87,2.99,0.0234306,0.00145393,0.0160152,0.000637572,23.4306,0.00436179,25,NGC5995,NGC 5995,20A-123,C,141.196695,237.103942,-13.757563,108.3,5
828,EVLA,5/2/20,15.03,10.43,-14.98,0.0372032,0.000206095,0.0341536,0.000110303,37.2032,0.000618285,40,NGC6232,NGC 6232,20A-123,C,29.09373325,250.834472,70.6325556,64.5,5
876,EVLA,5/1/20,12.43,10.52,-14.87,0.141203,0.00057403,0.135475,0.000321069,141.203,0.00172209,25,ARP102B,ARP 102B,20A-123,C,34.21981819,259.810419,48.9803873,108.5,5
1020,EVLA,11/3/23,49.96,35.81,-65.35,0.00938529,0.000981912,0.00477077,0.000349811,9.38529,0.002945736,70,UGC11397,UGC 11397,23B-079,D,30.29360778,285.954741,33.8447717,65.5,5
1042,EVLA,4/29/20,16.49,10.64,-11.2,0.0394104,0.000819037,0.0248858,0.000341253,39.4104,0.002457111,25,LEDA90334,2MASX J19373299-0613046,20A-123,C,28.19131078,294.387614,-6.2180018,44.7,5
1161,EVLA,4/6/20,17.84,10.23,21.48,0.0588062,0.000719415,0.0565919,0.000387403,58.8062,0.002158245,25,Mrk915,Mrk 915,20A-123,C,206.3408174,339.193721,-12.545223,104.4,5
1162,EVLA,3/18/20,23.55,11.74,55.35,0.0129922,0.000504059,0.00957074,0.000227248,12.9922,0.001512177,25,UGC12138,MCG+01-57-016,20A-123,C,23.8800767,340.071133,8.0537689,108.8,5
1177,EVLA,4/11/20,12.4,11.27,-57.21,0.0082036,0.000356517,0.00388051,0.000120578,8.2036,0.001069551,50,UGC12282,UGC 12282,20A-123,C,14.53015466,344.730478,40.9323316,77.1,5
1202,EVLA,3/23/20,16.63,11.76,73.85,0.00268327,0.000106451,0.00132035,3.68E-05,2.68327,0.000319353,25,UGC12741,UGC 12741,20A-123,C,21.01867176,355.481134,30.5817731,78.1,5
